epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5773.67,0.44943,0.39458,0.92377,0.9312,0.70731,0.78075,0.67298,0.798,1.01302,0.78897,0.000848969,0.000848969,0.000848969
43,5906.07,0.43266,0.37189,0.90952,0.82322,0.74055,0.80406,0.6853,0.79078,0.70127,0.76574,0.000834822,0.000834822,0.000834822
44,6042.67,0.44291,0.38442,0.90687,0.88538,0.71351,0.77739,0.66351,0.80053,0.88702,0.77012,0.000820675,0.000820675,0.000820675
45,6176.87,0.43436,0.38258,0.91119,0.82745,0.71888,0.79534,0.67636,0.80478,0.88046,0.78485,0.000806528,0.000806528,0.000806528
46,6310.19,0.44144,0.39658,0.91873,0.94501,0.70285,0.77401,0.6686,0.78966,0.93089,0.76923,0.00079238,0.00079238,0.00079238
47,6449.59,0.45586,0.39471,0.91687,0.90404,0.68444,0.73336,0.65237,0.80205,0.99581,0.78554,0.000778233,0.000778233,0.000778233
48,6586.8,0.4438,0.38671,0.90952,0.87318,0.72695,0.78627,0.66958,0.7687,0.74125,0.74664,0.000764086,0.000764086,0.000764086
49,6720.4,0.41992,0.37403,0.91087,0.91571,0.71358,0.77017,0.66099,0.78096,0.89792,0.77882,0.000749939,0.000749939,0.000749939
50,6857.17,0.4365,0.37641,0.9116,0.93958,0.70463,0.78835,0.67291,0.77569,0.78638,0.751,0.000735792,0.000735792,0.000735792
51,6994.47,0.42674,0.36595,0.90621,0.87078,0.71529,0.78436,0.68232,0.76943,0.85582,0.74636,0.000721645,0.000721645,0.000721645
52,7132.58,0.41363,0.35238,0.9067,0.91574,0.69504,0.76327,0.66036,0.77836,0.91286,0.75845,0.000707498,0.000707498,0.000707498
53,7269.31,0.43115,0.3673,0.90758,0.93991,0.71495,0.78373,0.67775,0.76463,0.78384,0.74062,0.000693351,0.000693351,0.000693351
54,7407.48,0.42641,0.36256,0.90254,0.7675,0.76329,0.76612,0.66608,0.77782,0.72986,0.74908,0.000679204,0.000679204,0.000679204
55,7545.96,0.42382,0.35267,0.90981,0.95105,0.69039,0.73036,0.63656,0.79245,1.04402,0.75734,0.000665057,0.000665057,0.000665057
56,7685.89,0.42247,0.36034,0.91004,0.88857,0.709,0.75563,0.67208,0.72787,0.89144,0.72462,0.000650909,0.000650909,0.000650909
57,7824.97,0.4104,0.34731,0.90105,0.88448,0.71546,0.78084,0.68498,0.74356,0.93158,0.73768,0.000636762,0.000636762,0.000636762
58,7960.89,0.39875,0.34398,0.91054,0.90876,0.70798,0.75986,0.6791,0.73254,0.90587,0.7357,0.000622615,0.000622615,0.000622615
59,8098.99,0.41449,0.35267,0.90281,0.91218,0.71262,0.77046,0.67586,0.73576,0.86096,0.74517,0.000608468,0.000608468,0.000608468
60,8234.69,0.39695,0.34362,0.89761,0.87293,0.74049,0.77416,0.68646,0.74726,0.7526,0.7375,0.000594321,0.000594321,0.000594321
61,8371.37,0.38608,0.32101,0.89136,0.86206,0.75331,0.79463,0.70031,0.76283,0.7592,0.74108,0.000580174,0.000580174,0.000580174
62,8509.59,0.40173,0.33136,0.89156,0.89427,0.73467,0.79582,0.70021,0.75301,0.75799,0.74988,0.000566027,0.000566027,0.000566027
63,8647.75,0.3964,0.32685,0.89578,0.87393,0.75439,0.78591,0.69684,0.74735,0.77834,0.74156,0.00055188,0.00055188,0.00055188
64,8783.84,0.37016,0.30828,0.89297,0.90436,0.716,0.75628,0.67308,0.72097,0.89039,0.72861,0.000537733,0.000537733,0.000537733
65,8920.5,0.39528,0.3203,0.89007,0.88567,0.72506,0.77185,0.67478,0.75764,0.88767,0.73743,0.000523586,0.000523586,0.000523586
66,9058.66,0.39923,0.31924,0.89129,0.91753,0.74279,0.78516,0.69368,0.75592,0.85424,0.74851,0.000509438,0.000509438,0.000509438
67,9193.97,0.37864,0.31294,0.89425,0.89553,0.73628,0.78694,0.68378,0.75207,0.81733,0.74293,0.000495291,0.000495291,0.000495291
68,9326.19,0.36261,0.30621,0.89617,0.89196,0.73868,0.78718,0.68744,0.74154,0.78941,0.73481,0.000481144,0.000481144,0.000481144
